white,elo_white,black,elo_black,result,opening,cadence,date,tournament,city
MILLIET Sophie,2366,ERIGAISI Arjun,2799,1 - 0,English Opening,classical,2020-12-29,Tata Steel,Wijk aan Zee
DAULYTE-CORNETTE Deimante,2371,GUICHARD Pauline,2357,0 - 1,Scotch Game,rapid,2020-07-14,Grand Chess Tour Croatia,Zagreb
WEI Yi,2753,MILLIET Sophie,2366,X - X,Queen's Gambit Accepted,rapid,2020-10-08,Grand Chess Tour Croatia,Zagreb
DAULYTE-CORNETTE Deimante,2371,GIRI Anish,2733,X - X,Larsen Opening,classical,2020-07-28,Isle of Man Open,Douglas
SHUVALOVA Polina,2495,DING Liren,2728,X - X,Petrov Defense,classical,2020-05-27,Tata Steel,Wijk aan Zee
SEBAG Marie,2448,GUICHARD Pauline,2357,1 - 0,French Defense,rapid,2020-06-11,Grand Chess Tour Croatia,Zagreb
SO Wesley,2747,CARLSEN Magnus,2831,X - X,Sicilian Defense,rapid,2020-02-27,World Rapid Championship,Samarkand
HOU Yifan,2633,KRAMNIK Vladimir,2810,0 - 1,Grunfeld Defense,classical,2020-08-08,Sinquefield Cup,Saint Louis
MAMEDYAROV Shakhriyar,2738,KOSTENIUK Alexandra,2487,1 - 0,French Defense,rapid,2020-03-12,Grand Chess Tour Croatia,Zagreb
ERIGAISI Arjun,2799,FIROUZJA Alireza,2763,X - X,French Defense,classical,2020-09-09,Norway Chess,Stavanger
GORYACHKINA Aleksandra,2528,CARUANA Fabiano,2805,1 - 0,Caro-Kann Defense,blitz,2020-11-04,World Blitz Championship,Dubai
VIDIT Santosh Gujrathi,2739,GIRI Anish,2733,X - X,Vienna Game,classical,2020-10-13,Norway Chess,Stavanger
VACHIER-LAGRAVE Maxime,2737,VAISHALI Rameshbabu,2490,X - X,Larsen Opening,classical,2020-06-16,Norway Chess,Stavanger
LEI Tingjie,2549,ASSAUBAYEVA Bibisara,2488,X - X,English Opening,blitz,2020-07-03,Titled Tuesday,NA
KASHLINSKAYA Alina,2493,DUDA Jan-Krzysztof,2740,1 - 0,French Defense,blitz,2020-08-30,World Blitz Championship,Dubai
ANAND Viswanathan,2750,MUZYCHUK Anna,2515,X - X,Ruy Lopez,classical,2020-06-24,Sinquefield Cup,Saint Louis
HOU Yifan,2633,BACROT Etienne,2653,X - X,French Defense,classical,2020-11-21,Tata Steel,Wijk aan Zee
VAISHALI Rameshbabu,2490,FIROUZJA Alireza,2763,X - X,Pirc Defense,blitz,2020-05-12,World Blitz Championship,Dubai
DRONAVALLI Harika,2493,FIROUZJA Alireza,2763,1 - 0,Queen's Gambit Accepted,blitz,2020-10-13,World Blitz Championship,Dubai
SHUVALOVA Polina,2495,JU Wenjun,2563,1 - 0,Sicilian Defense,classical,2020-12-24,Tata Steel,Wijk aan Zee
DZAGNIDZE Nana,2518,NIEMANN Hans Moke,2734,X - X,Queen's Gambit Accepted,rapid,2020-01-01,Grand Chess Tour Croatia,Zagreb
SCHIPPKE Manon,2272,LAGARDE Maxime,2606,X - X,Reti Opening,blitz,2020-11-15,Titled Tuesday,NA
GUKESH D,2783,SKRIPCHENKO Almira,2361,0 - 1,Queen's Gambit Accepted,classical,2020-11-02,Tata Steel,Wijk aan Zee
LAGNO Kateryna,2527,KEYMER Vincent,2733,X - X,Italian Game,classical,2020-05-08,Tata Steel,Wijk aan Zee
LAGNO Kateryna,2527,KEYMER Vincent,2733,X - X,French Defense,classical,2020-03-28,World Cup,Baku
CARUANA Fabiano,2805,NIEMANN Hans Moke,2734,1 - 0,Queen's Gambit Accepted,classical,2020-08-11,Candidates,Madrid
DING Liren,2728,GUICHARD Pauline,2357,X - X,Vienna Game,classical,2020-05-30,Candidates,Madrid
NEPOMNIACHTCHI Ian,2755,KRAMNIK Vladimir,2810,X - X,Dutch Defense,blitz,2020-02-01,Titled Tuesday,NA
KONERU Humpy,2530,NEPOMNIACHTCHI Ian,2755,X - X,Sicilian Defense,classical,2020-02-17,Tata Steel,Wijk aan Zee
KOSTENIUK Alexandra,2487,VIDIT Santosh Gujrathi,2739,X - X,Queen's Gambit Accepted,rapid,2020-10-05,World Rapid Championship,Samarkand
VACHIER-LAGRAVE Maxime,2737,ABDUSATTOROV Nodirbek,2777,1 - 0,Larsen Opening,classical,2020-04-24,Candidates,Madrid
DZAGNIDZE Nana,2518,MUZYCHUK Mariya,2505,X - X,Grunfeld Defense,classical,2020-12-12,Sinquefield Cup,Saint Louis
MILLIET Sophie,2366,KOSTENIUK Alexandra,2487,1 - 0,Scandinavian Defense,blitz,2020-04-22,World Blitz Championship,Dubai
NAVROTESCU Andreea,2338,KASHLINSKAYA Alina,2493,X - X,Nimzo-Indian Defense,classical,2020-07-21,Tata Steel,Wijk aan Zee
LAGNO Kateryna,2527,ANAND Viswanathan,2750,0 - 1,Scandinavian Defense,classical,2020-05-27,Candidates,Madrid
HEJAZIPOUR Mitra,2309,DOMINGUEZ PEREZ Leinier,2741,X - X,Larsen Opening,classical,2020-03-30,World Cup,Baku
GIRI Anish,2733,MILLIET Sophie,2366,1 - 0,Reti Opening,classical,2020-07-02,Tata Steel,Wijk aan Zee
KRAMNIK Vladimir,2810,POLGAR Judith,2732,1 - 0,Queen's Gambit Accepted,classical,2020-07-20,Tata Steel,Wijk aan Zee
DAULYTE-CORNETTE Deimante,2371,DZAGNIDZE Nana,2518,X - X,Scotch Game,classical,2020-12-20,Candidates,Madrid
PRAGGNANANDHAA R,2737,ZHU Jiner,2514,1 - 0,Reti Opening,classical,2020-07-23,Isle of Man Open,Douglas
ASSAUBAYEVA Bibisara,2488,KASPAROV Garry,2850,X - X,Semi-Slav Defense,classical,2020-05-12,Tata Steel,Wijk aan Zee
MUZYCHUK Mariya,2505,FRESSINET Laurent,2605,1 - 0,Scotch Game,rapid,2020-03-04,World Rapid Championship,Samarkand
VAISHALI Rameshbabu,2490,WEI Yi,2753,X - X,Sicilian Defense,blitz,2020-08-06,Titled Tuesday,NA
ASSAUBAYEVA Bibisara,2488,SCHIPPKE Manon,2272,X - X,Larsen Opening,classical,2020-08-10,Sinquefield Cup,Saint Louis
DING Liren,2728,ARONIAN Levon,2739,1 - 0,Sicilian Defense,classical,2020-04-07,Sinquefield Cup,Saint Louis
ASSAUBAYEVA Bibisara,2488,NEPOMNIACHTCHI Ian,2755,1 - 0,Reti Opening,rapid,2020-09-08,Grand Chess Tour Croatia,Zagreb
KRAMNIK Vladimir,2810,SEBAG Marie,2448,X - X,Sicilian Defense,classical,2020-06-19,Tata Steel,Wijk aan Zee
SHUVALOVA Polina,2495,JU Wenjun,2563,X - X,London System,classical,2020-07-13,Tata Steel,Wijk aan Zee
DING Liren,2728,PRAGGNANANDHAA R,2737,X - X,Catalan Opening,classical,2020-02-21,Tata Steel,Wijk aan Zee
VAISHALI Rameshbabu,2490,KEYMER Vincent,2733,1 - 0,Berlin Defense,classical,2020-02-16,Candidates,Madrid
ANAND Viswanathan,2750,HOU Yifan,2633,X - X,Dutch Defense,classical,2020-03-09,World Cup,Baku
HOU Yifan,2633,TAN Zhongyi,2551,X - X,Italian Game,blitz,2020-09-23,Titled Tuesday,NA
FIROUZJA Alireza,2763,GIRI Anish,2733,X - X,Alekhine Defense,classical,2020-03-08,Tata Steel,Wijk aan Zee
ERIGAISI Arjun,2799,POLGAR Judith,2732,X - X,Catalan Opening,rapid,2020-08-01,Grand Chess Tour Croatia,Zagreb
HOU Yifan,2633,DRONAVALLI Harika,2493,0 - 1,Petrov Defense,blitz,2020-08-29,World Blitz Championship,Dubai
IGLESIAS Yosha,2296,ERIGAISI Arjun,2799,1 - 0,Nimzo-Indian Defense,classical,2020-05-17,World Cup,Baku
MOUSSARD Jules,2600,PRAGGNANANDHAA R,2737,1 - 0,Semi-Slav Defense,rapid,2020-01-02,Grand Chess Tour Croatia,Zagreb
JU Wenjun,2563,ANAND Viswanathan,2750,1 - 0,Queen's Gambit Accepted,rapid,2020-03-21,Grand Chess Tour Croatia,Zagreb
HEJAZIPOUR Mitra,2309,WEI Yi,2753,X - X,Pirc Defense,classical,2020-10-14,Sinquefield Cup,Saint Louis
FIROUZJA Alireza,2763,PRAGGNANANDHAA R,2737,X - X,Queen's Gambit Accepted,classical,2020-05-15,Tata Steel,Wijk aan Zee
FIROUZJA Alireza,2763,DUDA Jan-Krzysztof,2740,1 - 0,French Defense,classical,2020-02-18,Tata Steel,Wijk aan Zee
IGLESIAS Yosha,2296,POLGAR Judith,2732,X - X,Reti Opening,rapid,2020-02-23,Grand Chess Tour Croatia,Zagreb
MAMEDYAROV Shakhriyar,2738,DING Liren,2728,0 - 1,Larsen Opening,classical,2020-08-17,Tata Steel,Wijk aan Zee
CARLSEN Magnus,2831,DUDA Jan-Krzysztof,2740,0 - 1,Sicilian Defense,classical,2020-07-23,Sinquefield Cup,Saint Louis
ASSAUBAYEVA Bibisara,2488,KRAMNIK Vladimir,2810,X - X,Ruy Lopez,classical,2020-07-31,Tata Steel,Wijk aan Zee
ANAND Viswanathan,2750,FIROUZJA Alireza,2763,1 - 0,Reti Opening,classical,2020-11-24,Tata Steel,Wijk aan Zee
GUICHARD Pauline,2357,VACHIER-LAGRAVE Maxime,2737,1 - 0,Queen's Gambit Accepted,classical,2020-08-21,Candidates,Madrid
GUICHARD Pauline,2357,CARLSEN Magnus,2831,0 - 1,English Opening,rapid,2020-01-09,Grand Chess Tour Croatia,Zagreb
SHUVALOVA Polina,2495,VACHIER-LAGRAVE Maxime,2737,X - X,Sicilian Defense,classical,2020-06-19,Sinquefield Cup,Saint Louis
LAGARDE Maxime,2606,ERIGAISI Arjun,2799,0 - 1,Nimzo-Indian Defense,classical,2020-02-08,Tata Steel,Wijk aan Zee
SEBAG Marie,2448,HEJAZIPOUR Mitra,2309,1 - 0,Scandinavian Defense,rapid,2020-07-07,World Rapid Championship,Samarkand
FIROUZJA Alireza,2763,DRONAVALLI Harika,2493,X - X,Pirc Defense,classical,2020-10-12,Candidates,Madrid
BACROT Etienne,2653,LAGNO Kateryna,2527,1 - 0,Scotch Game,classical,2020-09-01,Candidates,Madrid
GUKESH D,2783,SCHIPPKE Manon,2272,X - X,Dutch Defense,classical,2020-08-09,Norway Chess,Stavanger
KASHLINSKAYA Alina,2493,LE Quang Liem,2739,X - X,Ruy Lopez,classical,2020-07-11,Sinquefield Cup,Saint Louis
CARUANA Fabiano,2805,KRAMNIK Vladimir,2810,X - X,French Defense,rapid,2020-02-02,World Rapid Championship,Samarkand
KOSTENIUK Alexandra,2487,IGLESIAS Yosha,2296,X - X,Vienna Game,classical,2020-02-08,World Cup,Baku
HEJAZIPOUR Mitra,2309,VAISHALI Rameshbabu,2490,X - X,Vienna Game,rapid,2020-07-21,World Rapid Championship,Samarkand
SAVINA Anastasia,2324,FIROUZJA Alireza,2763,X - X,English Opening,classical,2020-05-27,Isle of Man Open,Douglas
FRESSINET Laurent,2605,GUKESH D,2783,0 - 1,Larsen Opening,classical,2020-07-16,Sinquefield Cup,Saint Louis
MAMEDYAROV Shakhriyar,2738,SCHIPPKE Manon,2272,1 - 0,Sicilian Defense,classical,2020-11-25,Tata Steel,Wijk aan Zee
IGLESIAS Yosha,2296,GUKESH D,2783,X - X,Petrov Defense,classical,2020-08-20,Sinquefield Cup,Saint Louis
FRESSINET Laurent,2605,ABDUSATTOROV Nodirbek,2777,0 - 1,Ruy Lopez,rapid,2020-12-26,Grand Chess Tour Croatia,Zagreb
CARUANA Fabiano,2805,SO Wesley,2747,1 - 0,London System,classical,2020-03-11,Sinquefield Cup,Saint Louis
MUZYCHUK Mariya,2505,KRAMNIK Vladimir,2810,X - X,Dutch Defense,rapid,2020-05-06,Grand Chess Tour Croatia,Zagreb
MOUSSARD Jules,2600,CARLSEN Magnus,2831,X - X,Larsen Opening,classical,2020-05-22,Sinquefield Cup,Saint Louis
VIDIT Santosh Gujrathi,2739,MAMEDYAROV Shakhriyar,2738,X - X,Grunfeld Defense,classical,2020-10-21,Sinquefield Cup,Saint Louis
KONERU Humpy,2530,ANAND Viswanathan,2750,0 - 1,Scotch Game,classical,2020-12-31,Tata Steel,Wijk aan Zee
KOSTENIUK Alexandra,2487,ERIGAISI Arjun,2799,X - X,Sicilian Defense,blitz,2020-02-02,World Blitz Championship,Dubai
FIROUZJA Alireza,2763,CARUANA Fabiano,2805,1 - 0,English Opening,rapid,2020-12-14,Grand Chess Tour Croatia,Zagreb
CARLSEN Magnus,2831,ANAND Viswanathan,2750,X - X,Berlin Defense,classical,2020-10-19,Tata Steel,Wijk aan Zee
MUZYCHUK Mariya,2505,NEPOMNIACHTCHI Ian,2755,1 - 0,Berlin Defense,classical,2020-12-24,Tata Steel,Wijk aan Zee
WEI Yi,2753,SAVINA Anastasia,2324,X - X,Vienna Game,rapid,2020-04-07,Grand Chess Tour Croatia,Zagreb
NIEMANN Hans Moke,2734,GIRI Anish,2733,X - X,English Opening,classical,2020-02-07,Sinquefield Cup,Saint Louis
CARLSEN Magnus,2831,HOU Yifan,2633,X - X,Nimzo-Indian Defense,classical,2020-03-19,Tata Steel,Wijk aan Zee
NEPOMNIACHTCHI Ian,2755,SCHIPPKE Manon,2272,X - X,French Defense,classical,2020-03-11,World Cup,Baku
NAKAMURA Hikaru,2802,KRAMNIK Vladimir,2810,X - X,Sicilian Defense,classical,2020-02-08,Isle of Man Open,Douglas
SAVINA Anastasia,2324,KONERU Humpy,2530,1 - 0,Grunfeld Defense,classical,2020-12-03,World Cup,Baku
DZAGNIDZE Nana,2518,MAMEDYAROV Shakhriyar,2738,0 - 1,Nimzo-Indian Defense,classical,2020-07-22,Candidates,Madrid
CARUANA Fabiano,2805,FRESSINET Laurent,2605,X - X,Petrov Defense,classical,2020-05-28,Isle of Man Open,Douglas
DAULYTE-CORNETTE Deimante,2371,DOMINGUEZ PEREZ Leinier,2741,X - X,French Defense,classical,2020-10-09,Sinquefield Cup,Saint Louis
GIRI Anish,2733,SHUVALOVA Polina,2495,X - X,Berlin Defense,classical,2020-10-22,Sinquefield Cup,Saint Louis
DRONAVALLI Harika,2493,VAISHALI Rameshbabu,2490,X - X,Nimzo-Indian Defense,rapid,2020-06-17,World Rapid Championship,Samarkand
DUDA Jan-Krzysztof,2740,DAULYTE-CORNETTE Deimante,2371,X - X,Dutch Defense,classical,2020-05-03,Isle of Man Open,Douglas
DRONAVALLI Harika,2493,MOUSSARD Jules,2600,X - X,Queen's Gambit Accepted,rapid,2020-10-14,Grand Chess Tour Croatia,Zagreb
KOSTENIUK Alexandra,2487,SCHIPPKE Manon,2272,X - X,Semi-Slav Defense,classical,2020-06-25,Sinquefield Cup,Saint Louis
MAMEDYAROV Shakhriyar,2738,SKRIPCHENKO Almira,2361,0 - 1,Vienna Game,classical,2020-05-17,Candidates,Madrid
HEJAZIPOUR Mitra,2309,ASSAUBAYEVA Bibisara,2488,X - X,Scandinavian Defense,blitz,2020-05-15,Titled Tuesday,NA
HOU Yifan,2633,SAVINA Anastasia,2324,0 - 1,Berlin Defense,classical,2020-03-18,Norway Chess,Stavanger
IGLESIAS Yosha,2296,DZAGNIDZE Nana,2518,1 - 0,Vienna Game,classical,2020-06-12,Sinquefield Cup,Saint Louis
KASHLINSKAYA Alina,2493,FRESSINET Laurent,2605,X - X,Ruy Lopez,blitz,2020-03-18,World Blitz Championship,Dubai
KASHLINSKAYA Alina,2493,DAULYTE-CORNETTE Deimante,2371,0 - 1,London System,classical,2020-04-22,Tata Steel,Wijk aan Zee
VAISHALI Rameshbabu,2490,GUICHARD Pauline,2357,0 - 1,Dutch Defense,classical,2020-04-26,Candidates,Madrid
MAMEDYAROV Shakhriyar,2738,SAVINA Anastasia,2324,1 - 0,Ruy Lopez,classical,2020-12-28,Sinquefield Cup,Saint Louis
PRAGGNANANDHAA R,2737,SKRIPCHENKO Almira,2361,0 - 1,French Defense,classical,2020-11-01,Sinquefield Cup,Saint Louis
NIEMANN Hans Moke,2734,GIRI Anish,2733,0 - 1,Reti Opening,rapid,2020-04-30,Grand Chess Tour Croatia,Zagreb
HEJAZIPOUR Mitra,2309,SO Wesley,2747,1 - 0,Petrov Defense,blitz,2020-09-21,Titled Tuesday,NA
DUDA Jan-Krzysztof,2740,MILLIET Sophie,2366,1 - 0,Pirc Defense,classical,2020-07-22,Sinquefield Cup,Saint Louis
KASHLINSKAYA Alina,2493,NIEMANN Hans Moke,2734,1 - 0,Catalan Opening,classical,2020-01-14,Sinquefield Cup,Saint Louis
SHUVALOVA Polina,2495,VIDIT Santosh Gujrathi,2739,1 - 0,London System,rapid,2020-04-02,Grand Chess Tour Croatia,Zagreb
NIEMANN Hans Moke,2734,MUZYCHUK Mariya,2505,X - X,Nimzo-Indian Defense,classical,2020-10-26,World Cup,Baku
TAN Zhongyi,2551,VACHIER-LAGRAVE Maxime,2737,X - X,Petrov Defense,rapid,2020-10-01,Grand Chess Tour Croatia,Zagreb
ASSAUBAYEVA Bibisara,2488,DRONAVALLI Harika,2493,X - X,Vienna Game,classical,2020-09-07,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,GORYACHKINA Aleksandra,2528,X - X,Dutch Defense,classical,2020-10-25,Sinquefield Cup,Saint Louis
SAVINA Anastasia,2324,SEBAG Marie,2448,X - X,Ruy Lopez,classical,2020-09-30,Isle of Man Open,Douglas
POLGAR Judith,2732,ERIGAISI Arjun,2799,0 - 1,Italian Game,classical,2020-03-19,Tata Steel,Wijk aan Zee
ARONIAN Levon,2739,SEBAG Marie,2448,X - X,English Opening,rapid,2020-11-01,Grand Chess Tour Croatia,Zagreb
LAGNO Kateryna,2527,DAULYTE-CORNETTE Deimante,2371,X - X,Larsen Opening,classical,2020-08-25,Tata Steel,Wijk aan Zee
MAMEDYAROV Shakhriyar,2738,PRAGGNANANDHAA R,2737,1 - 0,Vienna Game,classical,2020-11-05,Candidates,Madrid
ERIGAISI Arjun,2799,LAGARDE Maxime,2606,0 - 1,French Defense,classical,2020-11-26,Tata Steel,Wijk aan Zee
ASSAUBAYEVA Bibisara,2488,GIRI Anish,2733,X - X,Grunfeld Defense,classical,2020-12-09,Isle of Man Open,Douglas
GIRI Anish,2733,ABDUSATTOROV Nodirbek,2777,X - X,French Defense,classical,2020-05-01,Sinquefield Cup,Saint Louis
ZHU Jiner,2514,FIROUZJA Alireza,2763,X - X,English Opening,classical,2020-12-21,Candidates,Madrid
NEPOMNIACHTCHI Ian,2755,SHUVALOVA Polina,2495,X - X,French Defense,classical,2020-08-24,Isle of Man Open,Douglas
KASPAROV Garry,2850,PRAGGNANANDHAA R,2737,X - X,English Opening,rapid,2020-09-20,Grand Chess Tour Croatia,Zagreb
VACHIER-LAGRAVE Maxime,2737,DZAGNIDZE Nana,2518,X - X,Berlin Defense,classical,2020-02-03,Sinquefield Cup,Saint Louis
SO Wesley,2747,LE Quang Liem,2739,X - X,Vienna Game,rapid,2020-04-18,Grand Chess Tour Croatia,Zagreb
ABDUSATTOROV Nodirbek,2777,BACROT Etienne,2653,1 - 0,Vienna Game,rapid,2020-12-27,World Rapid Championship,Samarkand
KRAMNIK Vladimir,2810,GIRI Anish,2733,X - X,Queen's Gambit Accepted,classical,2020-02-24,Tata Steel,Wijk aan Zee
VIDIT Santosh Gujrathi,2739,SHUVALOVA Polina,2495,X - X,King's Indian Defense,classical,2020-05-06,Candidates,Madrid
PRAGGNANANDHAA R,2737,ARONIAN Levon,2739,0 - 1,Ruy Lopez,classical,2020-06-13,Norway Chess,Stavanger
ARONIAN Levon,2739,HEJAZIPOUR Mitra,2309,X - X,Scotch Game,rapid,2020-02-13,World Rapid Championship,Samarkand
VIDIT Santosh Gujrathi,2739,GIRI Anish,2733,1 - 0,Queen's Gambit Accepted,classical,2020-06-24,Candidates,Madrid
KASHLINSKAYA Alina,2493,WEI Yi,2753,1 - 0,Vienna Game,classical,2020-02-04,Isle of Man Open,Douglas
NAVROTESCU Andreea,2338,PRAGGNANANDHAA R,2737,X - X,Alekhine Defense,rapid,2020-02-14,World Rapid Championship,Samarkand
VAISHALI Rameshbabu,2490,MILLIET Sophie,2366,X - X,Vienna Game,classical,2020-10-08,Candidates,Madrid
GUKESH D,2783,FIROUZJA Alireza,2763,1 - 0,French Defense,rapid,2020-05-15,Grand Chess Tour Croatia,Zagreb
MUZYCHUK Mariya,2505,LAGARDE Maxime,2606,X - X,Sicilian Defense,classical,2020-05-20,Isle of Man Open,Douglas
KASPAROV Garry,2850,CARLSEN Magnus,2831,X - X,Italian Game,classical,2020-02-13,World Cup,Baku
ZHU Jiner,2514,NIEMANN Hans Moke,2734,X - X,French Defense,classical,2020-12-07,Isle of Man Open,Douglas
WEI Yi,2753,ABDUSATTOROV Nodirbek,2777,1 - 0,Sicilian Defense,rapid,2020-07-14,Grand Chess Tour Croatia,Zagreb
NEPOMNIACHTCHI Ian,2755,JU Wenjun,2563,0 - 1,King's Indian Defense,classical,2020-02-11,Candidates,Madrid
VIDIT Santosh Gujrathi,2739,ZHU Jiner,2514,X - X,Reti Opening,classical,2020-12-18,World Cup,Baku
ERIGAISI Arjun,2799,GUKESH D,2783,X - X,Berlin Defense,blitz,2020-03-31,Titled Tuesday,NA
LAGARDE Maxime,2606,PRAGGNANANDHAA R,2737,1 - 0,Sicilian Defense,rapid,2020-03-24,World Rapid Championship,Samarkand
VACHIER-LAGRAVE Maxime,2737,KASPAROV Garry,2850,1 - 0,Dutch Defense,classical,2020-09-06,Sinquefield Cup,Saint Louis
KRAMNIK Vladimir,2810,FIROUZJA Alireza,2763,X - X,English Opening,blitz,2020-05-26,Titled Tuesday,NA
ERIGAISI Arjun,2799,JU Wenjun,2563,0 - 1,Grunfeld Defense,classical,2020-03-04,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,SKRIPCHENKO Almira,2361,1 - 0,Vienna Game,classical,2020-10-29,Tata Steel,Wijk aan Zee
KASPAROV Garry,2850,ASSAUBAYEVA Bibisara,2488,X - X,Grunfeld Defense,classical,2020-09-30,Tata Steel,Wijk aan Zee
GUKESH D,2783,POLGAR Judith,2732,1 - 0,Larsen Opening,blitz,2020-05-29,World Blitz Championship,Dubai
DZAGNIDZE Nana,2518,DAULYTE-CORNETTE Deimante,2371,X - X,Berlin Defense,classical,2020-06-18,World Cup,Baku
FIROUZJA Alireza,2763,HOU Yifan,2633,1 - 0,Larsen Opening,rapid,2020-07-17,Grand Chess Tour Croatia,Zagreb
SCHIPPKE Manon,2272,DOMINGUEZ PEREZ Leinier,2741,1 - 0,English Opening,classical,2020-12-31,Tata Steel,Wijk aan Zee
MILLIET Sophie,2366,ANAND Viswanathan,2750,1 - 0,Queen's Gambit Accepted,rapid,2020-12-27,Grand Chess Tour Croatia,Zagreb
GUICHARD Pauline,2357,POLGAR Judith,2732,0 - 1,Pirc Defense,classical,2020-01-31,Sinquefield Cup,Saint Louis
ERIGAISI Arjun,2799,SKRIPCHENKO Almira,2361,0 - 1,Caro-Kann Defense,classical,2020-12-07,Sinquefield Cup,Saint Louis
WEI Yi,2753,VACHIER-LAGRAVE Maxime,2737,0 - 1,Petrov Defense,classical,2020-12-05,Candidates,Madrid
ASSAUBAYEVA Bibisara,2488,MOUSSARD Jules,2600,X - X,Berlin Defense,rapid,2020-06-19,Grand Chess Tour Croatia,Zagreb
LE Quang Liem,2739,FRESSINET Laurent,2605,X - X,King's Indian Defense,classical,2020-04-15,Norway Chess,Stavanger
DRONAVALLI Harika,2493,NAKAMURA Hikaru,2802,X - X,Italian Game,classical,2020-09-27,Tata Steel,Wijk aan Zee
ASSAUBAYEVA Bibisara,2488,KONERU Humpy,2530,1 - 0,Queen's Gambit Accepted,classical,2020-01-29,Isle of Man Open,Douglas
KASPAROV Garry,2850,GUKESH D,2783,X - X,Nimzo-Indian Defense,classical,2020-05-04,Candidates,Madrid
HEJAZIPOUR Mitra,2309,LAGNO Kateryna,2527,1 - 0,Dutch Defense,classical,2020-05-25,Tata Steel,Wijk aan Zee
HOU Yifan,2633,LAGNO Kateryna,2527,X - X,Reti Opening,rapid,2020-06-29,World Rapid Championship,Samarkand
NAVROTESCU Andreea,2338,ANAND Viswanathan,2750,1 - 0,Pirc Defense,rapid,2020-08-08,Grand Chess Tour Croatia,Zagreb
HEJAZIPOUR Mitra,2309,LAGARDE Maxime,2606,X - X,Berlin Defense,rapid,2020-09-01,Grand Chess Tour Croatia,Zagreb
BACROT Etienne,2653,WEI Yi,2753,X - X,Scotch Game,blitz,2020-02-29,World Blitz Championship,Dubai
MUZYCHUK Mariya,2505,FIROUZJA Alireza,2763,X - X,Queen's Gambit Accepted,classical,2020-02-05,Candidates,Madrid
SCHIPPKE Manon,2272,DRONAVALLI Harika,2493,X - X,Sicilian Defense,classical,2020-07-20,Sinquefield Cup,Saint Louis
MUZYCHUK Anna,2515,IGLESIAS Yosha,2296,X - X,Reti Opening,classical,2020-07-21,Isle of Man Open,Douglas
LAGARDE Maxime,2606,WEI Yi,2753,X - X,Petrov Defense,classical,2020-06-29,Tata Steel,Wijk aan Zee
